admin3Name_en,admin3Name_alias,admin3Pcode,admin2Name_en,admin2Name_alias,admin2Pcode,admin1Name_en,admin1Name_alias,admin1Pcode,admin0Name_en,admin0Name_alias,admin0Pcode
BEBEND (ATOK),BEBEND (ATOK),ES0202,HAUT-NYONG,HAUT-NYONG,ES02,EST,EST,ES,Cameroon,Cameroon,CMR
DIMAKO,DIMAKO,ES0203,HAUT-NYONG,HAUT-NYONG,ES02,EST,EST,ES,Cameroon,Cameroon,CMR
DJA (MINDOUROU),DJA (MINDOUROU),ES0204,HAUT-NYONG,HAUT-NYONG,ES02,EST,EST,ES,Cameroon,Cameroon,CMR
DOUMAINTANG,DOUMAINTANG,ES0205,HAUT-NYONG,HAUT-NYONG,ES02,EST,EST,ES,Cameroon,Cameroon,CMR
DOUME,DOUME,ES0206,HAUT-NYONG,HAUT-NYONG,ES02,EST,EST,ES,Cameroon,Cameroon,CMR
LOMIE,LOMIE,ES0207,HAUT-NYONG,HAUT-NYONG,ES02,EST,EST,ES,Cameroon,Cameroon,CMR
MBOANZ (ANGOSSAS),MBOANZ (ANGOSSAS),ES0208,HAUT-NYONG,HAUT-NYONG,ES02,EST,EST,ES,Cameroon,Cameroon,CMR
MBOMA,MBOMA,ES0209,HAUT-NYONG,HAUT-NYONG,ES02,EST,EST,ES,Cameroon,Cameroon,CMR
MESSAMENA,MESSAMENA,ES0210,HAUT-NYONG,HAUT-NYONG,ES02,EST,EST,ES,Cameroon,Cameroon,CMR
MESSOK,MESSOK,ES0211,HAUT-NYONG,HAUT-NYONG,ES02,EST,EST,ES,Cameroon,Cameroon,CMR
NGOYLA,NGOYLA,ES0212,HAUT-NYONG,HAUT-NYONG,ES02,EST,EST,ES,Cameroon,Cameroon,CMR
NGUELEMENDOUKA,NGUELEMENDOUKA,ES0213,HAUT-NYONG,HAUT-NYONG,ES02,EST,EST,ES,Cameroon,Cameroon,CMR
